"To","ES","fd","P_value","P_value_adjust"
"GK",0.04016515,2.87052050175236,1.03697847694517e-06,0.000169821308290074
"GLB1",0.41458505,1.16844671978566,0.00285984385610148,0.019781613914133
"GNPAT",0.30070764,2.97143756831202,0.000412069800972758,0.00508077293689033
"GPAM",0.14735621,3.4271888365096,1.45804661505724e-05,0.000672740522323662
"GPD1",0.12169516,3.3258426487168,9.63302840778618e-06,0.00054498131843007
"HACD3",0.4570719,1.29975795818666,0.00905950605887996,0.045610172072118
"HACL1",0.36221984,3.79880470849118,0.00152147493833897,0.0127331781345474
"HADH",0.24588549,2.83690810663101,0.000237564250873865,0.00345787965160847
"HADHA",0.009511072,1.83091057103822,1.82607214239012e-07,8.5590876048147e-05
"HADHB",0.10769582,1.59847668131314,5.68899284395104e-06,0.000414973239378656
"HEXB",0.47892588,0.882475561461942,0.0415642237668637,0.140569416417017
"HMGCL",0.21379583,1.83792322722272,0.00011684539076223,0.0021740016327616
"HMGCS1",0.2177878,2.58635634608475,9.4901890840897e-05,0.00192012961125579
"HMGCS2",0.029846491,3.52212147269679,1.28733974202152e-06,0.00019292598723093
"HSD11B1",0.42900017,3.1064909291134,0.0061793627038808,0.0347268326670217
"HSD17B11",0.33382773,2.05992860240807,0.000744239970347917,0.00771773242271935
"HSD17B12",0.43332517,0.733584932112719,0.00739636853770627,0.0394329648202131
"HSD17B14",0.4717199,Inf,0.0313766714029094,0.114992314872023
"HSD17B2",0.42216882,1.77880572489292,0.00331288192315503,0.0219230815100331
"HSD17B4",0.43191734,3.23548678421844,0.0107630157316904,0.0520631484413873
"HSD17B7",0.33987832,2.70878533827512,0.00103604159075019,0.00977162329463549
"HSD17B8",0.4436292,2.20465686927034,0.00777286724568199,0.0406303215391146
"HSD3B7",0.23743014,2.95036896222337,9.91311942321038e-05,0.00196396029560455
"IDI1",0.37568882,2.38493778449475,0.00185379412006217,0.0145780934114742
"LBR",0.34631136,3.17275795470889,0.000727396234172511,0.00763751482091937
"LPCAT3",0.3494384,1.85710338627486,0.000739318560792466,0.00769273760951685
"LPGAT1",0.26864177,2.16364902133236,0.000136099148940832,0.00237396857894348
"LSS",0.4251548,2.29184765884871,0.00600265673796343,0.0339851828145596
"MAPKAPK2",0.4386029,1.55716114569278,0.00776526011863289,0.0406303215391146
